ad_id,image,title,description,plz,district,posted_at
1595756992,https://i.ebayimg.com/00/s/MTMzNFg3NTA=/z/GFAAAOSw3L9fzRe~/$_2.JPG,Kallax 2x4,Hey wer Interesse hat kann das für wenig Geld abholen :)) in Berlin Spandau. Hat keine Macken steht...,10407,Prenzlauer Berg,"Heute, 18:41"
1595756807,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/p1EAAOSw6odfzRdE/$_2.JPG,Musikanlage zu verschenken,"Verschenke eine kleine Musikanlage an Selbstabholer! Radio funktioniert, CD habe ich nicht...",10407,Prenzlauer Berg,"Heute, 18:41"
1595756748,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/N-4AAOSwaQdfzReq/$_2.JPG,Kommode für TV,"Biete hier eine sehr stabil gebaute Kommode an, die ideal ist, um z.B. ein TV bzw. Fernseher darauf...",10407,Prenzlauer Berg,"Heute, 18:41"
1595755197,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/2kwAAOSw5StfzRcQ/$_2.JPG,Sony Diktiergerät,"Sollte noch funktionieren, aber lange nicht genutzt. Enthält noch Batterien aber keine Kassette.",10407,Prenzlauer Berg,"Heute, 18:40"
1595754991,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/pfgAAOSw8GZfzRb5/$_2.JPG,Druckerpatronen,"Ink Cartridge
Schwarz und gelb

Nur an selbstabholer",10407,Prenzlauer Berg,"Heute, 18:40"
1595753581,https://i.ebayimg.com/00/s/MTMxNFgxMjAw/z/odsAAOSwpE5fzRbn/$_2.JPG,Verschenke verschiedene Jungen Kleidung,"Verschenke verschiedene Jungen Klamotten grösse 98-110
(Sind mehr als auf dem Bild)",10407,Prenzlauer Berg,"Heute, 18:39"
1595753308,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/KbcAAOSw8FVfzRam/$_2.JPG,Dach über dem Kopf und zur Ruhe kommen,Biete Unterkunft/Über​nachtungsmöglichkeit​ (kostenlos) für eine deutschsprachige Obdachlose...,10407,Prenzlauer Berg,"Heute, 18:38"
1595752963,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/UZQAAOSwjkhfzRbR/$_2.JPG,Verschiedene Kosmetika,Ich verschenke verschiedene Kosmetika. Alles ist offen und etwas gebraucht. Bitte nehmen Sie alles...,10407,Prenzlauer Berg,"Heute, 18:38"
1595752898,https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/KDwAAOSw-gJfzRZt/$_2.JPG,Fahrradhelm Gr 61-65,"Fahrradhelm Abus Urban-I mit Rücklicht ohne Sonnenschutz, Gebrauchsspuren, s. anbei. Größe 61-65",10407,Prenzlauer Berg,"Heute, 18:38"
1595752755,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Th8AAOSwQ3FfzRbp/$_2.JPG,Ikea Kinder Kleiderstange,Alles im super Zustand :) für Selbstabholer,10407,Prenzlauer Berg,"Heute, 18:38"
1595752230,https://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/v8sAAOSwxp1fzRaS/$_2.JPG,Schlüsselbänder Schlüsselband Schlüsselanhänger,"Ich biete hier nach Umzug einiges an.
Hier diverse Schlüsselbänder.
Zustand sehr gut, aber wir...",10407,Prenzlauer Berg,"Heute, 18:38"
1595752142,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/cl0AAOSwEUBfzRbt/$_2.JPG,Tisch und 2 Stühle,"Tisch und zwei Stühle zu verschenken.

Nur Abholung in Berlin Mitte.",10407,Prenzlauer Berg,"Heute, 18:38"
